event,start_date,end_date,city,state_province,country,type,usa_selection,mixed_ind,period,automatic
World Triathlon Mixed Relay Olympic Qualification Event,2024-04-15,2024-05-27,,,,qualification,No,mixed,May 27th 2023 - May 27th 2024,Yes
World Triathlon Olympic Test Event,2023-08-17,2023-08-20,Paris,,France,test,Yes,both,May 27th 2023 - May 27th 2024,No
2022 World Triathlon Sprint & Relay Championships Montreal,2022-06-24,2022-06-26,Montreal,Québec,Canada,championships,No,both,May 27th 2022 - May 26th 2023,Yes
2023 World Triathlon Sprint & Relay Championships Hamburg,2023-07-13,2023-07-16,Hamburg,,Germany,championships,No,both,May 27th 2023 - May 27th 2024,Yes
2022 World Triathlon Championship Series Leeds,2022-06-11,2022-06-12,Leeds,,Great Britain,series,No,both,May 27th 2022 - May 26th 2023,No
2022 World Triathlon Championship Series Hamburg,2022-07-09,2022-07-10,Hamburg,,Germany,series,No,both,May 27th 2022 - May 26th 2023,No
2022 World Triathlon Championship Series Cagliari,2022-10-08,2022-10-09,Cagliari,,Italy,series,No,individual,May 27th 2022 - May 26th 2023,No
2022 World Triathlon Championship Series Bermuda,2022-11-05,2022-11-06,Bermuda,,Bermuda,series,No,individual,May 27th 2022 - May 26th 2023,No
2022 World Triathlon Championship Finals Abu Dhabi,2022-11-24,2022-11-26,Abu Dabhi,,UAE,finals,No,individual,May 27th 2022 - May 26th 2023,No
2023 World Triathlon Championship Series Abu Dhabi,2023-03-03,2023-03-03,Abu Dabhi,,UAE,series,No,individual,May 27th 2022 - May 26th 2023,No
2023 World Triathlon Championship Series Yokohama,2023-05-13,2023-05-14,Yokohama,,Japan,series,No,individual,May 27th 2022 - May 26th 2023,No
2023 World Triathlon Championship Series Cagliari,2023-05-27,2023-05-27,Cagliari,,Italy,series,No,individual,May 27th 2023 - May 27th 2024,No
2023 World Triathlon Championship Series Montreal,2023-06-24,2023-06-25,Montreal,Québec,Canada,series,No,both,May 27th 2023 - May 27th 2024,No
2023 World Triathlon Championship Series Sunderland,2023-07-29,2023-07-30,Sunderland,,Great Britain,series,No,both,May 27th 2023 - May 27th 2024,No
2023 World Triathlon Championship Finals Pontevedra,2023-09-22,2023-09-24,Pontevedra,,Spain,finals,Yes,individual,May 27th 2023 - May 27th 2024,No
2022 World Triathlon Cup Arzachena,2022-05-28,2022-05-28,Arzachena,,Italy,cup,No,individual,May 27th 2022 - May 26th 2023,No
2022 World Triathlon Cup Huatulco,2022-06-18,2022-06-19,Huatulco,,Mexico,cup,No,individual,May 27th 2022 - May 26th 2023,No
2022 World Triathlon Cup Pontevedra,2022-07-24,2022-07-24,Pontevedra,,Spain,cup,No,individual,May 27th 2022 - May 26th 2023,No
2022 World Triathlon Cup Bergen,2022-08-28,2022-08-28,Bergen,,Norway,cup,No,individual,May 27th 2022 - May 26th 2023,No
2022 World Triathlon Cup Valencia,2022-09-03,2022-09-03,Valencia,,Spain,cup,No,individual,May 27th 2022 - May 26th 2023,No
2022 World Triathlon Cup Karlovy Vary,2022-09-11,2022-09-11,Karlovy Vary,,Czech Republic,cup,No,individual,May 27th 2022 - May 26th 2023,No
2022 World Triathlon Cup Tongyeong,2022-10-15,2022-10-15,Tongyeong,,South Korea,cup,No,individual,May 27th 2022 - May 26th 2023,No
