first,last,name,country,country_abbr,date,event,position,time,period,points,current_rank,currently_used,cumulative,american,rank,qualification
Manoel,Massias,Manoel Massias,Brazil,BRA,2022-05-28,2022 World Triathlon Cup Arzachena,2,0:54:24,first,346.88,6,Yes,346.88,No,# 6,On Track to Qualify
Lasse,Lührs,Lasse Lührs,Germany,GER,2022-05-28,2022 World Triathlon Cup Arzachena,9,0:55:18,first,200.99,7,Yes,200.99,No,# 7,On Track to Qualify
Joao,Silva,Joao Silva,Portugal,POR,2022-05-28,2022 World Triathlon Cup Arzachena,26,0:57:10,first,53.400000000000006,12,Yes,53.400000000000006,No,# 12,On Track to Qualify
Csongor,Lehmann,Csongor Lehmann,Hungary,HUN,2022-05-28,2022 World Triathlon Cup Arzachena,21,0:56:15,first,78.86,15,Yes,78.86,No,# 15,On Track to Qualify
Tom,Richard,Tom Richard,France,FRA,2022-05-28,2022 World Triathlon Cup Arzachena,3,0:54:35,first,320.86,20,Yes,320.86,No,# 20,On Track to Qualify
Shachar,Sagiv,Shachar Sagiv,Israel,ISR,2022-05-28,2022 World Triathlon Cup Arzachena,11,0:55:19,first,171.97,21,Yes,171.97,No,# 21,On Track to Qualify
Márk,Dévay,Márk Dévay,Hungary,HUN,2022-05-28,2022 World Triathlon Cup Arzachena,4,0:54:41,first,296.79,25,Yes,296.79,No,# 25,On Track to Qualify
Léo,Bergere,Léo Bergere,France,FRA,2022-06-11,2022 World Triathlon Championship Series Leeds,2,0:53:28,first,693.75,1,Yes,693.75,No,# 1,On Track to Qualify
Jelle,Geens,Jelle Geens,Belgium,BEL,2022-06-11,2022 World Triathlon Championship Series Leeds,8,0:53:59,first,434.56,3,Yes,434.56,No,# 3,On Track to Qualify
Vincent,Luis,Vincent Luis,France,FRA,2022-06-11,2022 World Triathlon Championship Series Leeds,10,0:54:01,first,371.82,4,Yes,371.82,No,# 4,On Track to Qualify
