first,last,name,country,country_abb,date,event,position,time,period,points,current_rank,currently_used,cumulative,american,rank
Luisa,Baptista,Luisa Baptista,Brazil,BRA,2022-05-28,2022 World Triathlon Cup Arzachena,3,1:00:36,first,320.86,17,Yes,320.86,No,# 17
Julie,Derron,Julie Derron,Switzerland,SUI,2022-05-28,2022 World Triathlon Cup Arzachena,2,1:00:35,first,346.88,19,Yes,346.88,No,# 19
Sandra,Dodet,Sandra Dodet,France,FRA,2022-05-28,2022 World Triathlon Cup Arzachena,1,1:00:31,first,375,26,Yes,375,No,# 26
Taylor,Spivey,Taylor Spivey,United States,USA,2022-06-11,2022 World Triathlon Championship Series Leeds,4,0:59:22,first,593.59,1,Yes,593.59,Yes,# 1
Beth,Potter,Beth Potter,Great Britain,GBR,2022-06-11,2022 World Triathlon Championship Series Leeds,5,0:59:22,first,549.07,2,Yes,549.07,No,# 2
Georgia,Taylor-Brown,Georgia Taylor-Brown,Great Britain,GBR,2022-06-11,2022 World Triathlon Championship Series Leeds,2,0:59:12,first,693.75,3,Yes,693.75,No,# 3
Cassandre,Beaugrand,Cassandre Beaugrand,France,FRA,2022-06-11,2022 World Triathlon Championship Series Leeds,1,0:59:03,first,750,4,Yes,750,No,# 4
Flora,Duffy,Flora Duffy,Bermuda,BER,2022-06-11,2022 World Triathlon Championship Series Leeds,7,0:59:44,first,469.8,5,Yes,469.8,No,# 5
Sophie,Coldwell,Sophie Coldwell,Great Britain,GBR,2022-06-11,2022 World Triathlon Championship Series Leeds,3,0:59:15,first,641.72,6,Yes,641.72,No,# 6
Miriam,Casillas García,Miriam Casillas García,Spain,ESP,2022-06-11,2022 World Triathlon Championship Series Leeds,10,0:59:59,first,371.82,7,Yes,371.82,No,# 7
Laura,Lindemann,Laura Lindemann,Germany,GER,2022-06-11,2022 World Triathlon Championship Series Leeds,6,0:59:39,first,507.89,9,Yes,507.89,No,# 9
Verena,Steinhauser,Verena Steinhauser,Italy,ITA,2022-06-11,2022 World Triathlon Championship Series Leeds,13,1:00:05,first,294.28000000000003,12,Yes,294.28000000000003,No,# 12
Maya,Kingma,Maya Kingma,Netherlands,NED,2022-06-11,2022 World Triathlon Championship Series Leeds,18,1:00:35,first,199.28,13,Yes,199.28,No,# 13
Vittoria,Lopes,Vittoria Lopes,Brazil,BRA,2022-06-11,2022 World Triathlon Championship Series Leeds,23,1:01:00,first,134.95,18,Yes,134.95,No,# 18
Julie,Derron,Julie Derron,Switzerland,SUI,2022-06-11,2022 World Triathlon Championship Series Leeds,9,0:59:59,first,401.97,19,Yes,748.85,No,# 19
Nina,Eim,Nina Eim,Germany,GER,2022-06-11,2022 World Triathlon Championship Series Leeds,25,1:01:12,first,115.47,23,Yes,115.47,No,# 23
Kirsten,Kasper,Kirsten Kasper,United States,USA,2022-06-11,2022 World Triathlon Championship Series Leeds,12,1:00:03,first,318.14,24,Yes,318.14,Yes,# 24
Luisa,Baptista,Luisa Baptista,Brazil,BRA,2022-06-18,2022 World Triathlon Cup Huatulco*,6,1:00:44,first,253.95000000000002,17,Yes,574.8100000000001,No,# 17
Emy,Legault,Emy Legault,Canada,CAN,2022-06-18,2022 World Triathlon Cup Huatulco*,2,1:00:13,first,346.88,22,Yes,346.88,No,# 22
Beth,Potter,Beth Potter,Great Britain,GBR,2022-06-24,2022 World Triathlon Sprint & Relay Championships Montreal*,3,0:24:15,first,748.67,2,Yes,1297.74,No,# 2
Georgia,Taylor-Brown,Georgia Taylor-Brown,Great Britain,GBR,2022-06-24,2022 World Triathlon Sprint & Relay Championships Montreal*,1,0:24:04,first,875,3,Yes,1568.75,No,# 3
Cassandre,Beaugrand,Cassandre Beaugrand,France,FRA,2022-06-24,2022 World Triathlon Sprint & Relay Championships Montreal*,2,0:24:07,first,809.38,4,Yes,1559.38,No,# 4
Sophie,Coldwell,Sophie Coldwell,Great Britain,GBR,2022-06-24,2022 World Triathlon Sprint & Relay Championships Montreal*,7,0:24:47,first,548.1,6,Yes,1189.8200000000002,No,# 6
