first,last,name,country,country_abbr,date,event,position,time,period,points,current_rank,currently_used
Léo,Bergere,Léo Bergere,France,FRA,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,1,1:44:14,first,1250,1,Yes
Léo,Bergere,Léo Bergere,France,FRA,2022-06-24,2022 World Triathlon Sprint & Relay Championships Montreal*,3,0:21:59,first,748.67,1,Yes
Léo,Bergere,Léo Bergere,France,FRA,2022-06-11,2022 World Triathlon Championship Series Leeds,2,0:53:28,first,693.75,1,Yes
Léo,Bergere,Léo Bergere,France,FRA,2022-10-08,2022 World Triathlon Championship Series Cagliari,6,1:40:40,first,677.19,1,Yes
Léo,Bergere,Léo Bergere,France,FRA,2022-08-12,2022 Europe Triathlon Championships Munich,1,1:41:09,first,650,1,Yes
Léo,Bergere,Léo Bergere,France,FRA,2022-07-09,2022 World Triathlon Championship Series Hamburg,4,0:53:29,first,593.59,1,Yes
Léo,Bergere,Léo Bergere,France,FRA,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,6,0:53:15,first,507.89,1,No
Alex,Yee,Alex Yee,Great Britain,GBR,2022-10-08,2022 World Triathlon Championship Series Cagliari,1,1:40:19,first,1000,2,Yes
Alex,Yee,Alex Yee,Great Britain,GBR,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,4,1:44:37,first,989.32,2,Yes
Alex,Yee,Alex Yee,Great Britain,GBR,2022-06-24,2022 World Triathlon Sprint & Relay Championships Montreal*,1,0:21:55,first,875,2,Yes
Alex,Yee,Alex Yee,Great Britain,GBR,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,1,0:52:53,first,750,2,Yes
Alex,Yee,Alex Yee,Great Britain,GBR,2022-11-05,2022 World Triathlon Championship Series Bermuda,5,1:50:04,first,732.09,2,Yes
Jelle,Geens,Jelle Geens,Belgium,BEL,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,3,1:44:34,first,1069.53,3,Yes
Jelle,Geens,Jelle Geens,Belgium,BEL,2022-11-05,2022 World Triathlon Championship Series Bermuda,4,1:49:59,first,791.45,3,Yes
Jelle,Geens,Jelle Geens,Belgium,BEL,2022-06-24,2022 World Triathlon Sprint & Relay Championships Montreal*,4,0:22:02,first,692.52,3,Yes
Jelle,Geens,Jelle Geens,Belgium,BEL,2022-07-09,2022 World Triathlon Championship Series Hamburg,5,0:53:36,first,549.07,3,Yes
Jelle,Geens,Jelle Geens,Belgium,BEL,2022-06-11,2022 World Triathlon Championship Series Leeds,8,0:53:59,first,434.56,3,Yes
Jelle,Geens,Jelle Geens,Belgium,BEL,2022-08-12,2022 Europe Triathlon Championships Munich,5,1:41:39,first,399.72,3,Yes
