first,last,name,country,country_abb,date,event,position,time,period,points,current_rank,currently_used,current_sum
Taylor,Spivey,Taylor Spivey,United States,USA,2022-10-08,2022 World Triathlon Championship Series Cagliari,4,1:48:32,first,791.45,1,Yes,
Taylor,Spivey,Taylor Spivey,United States,USA,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,7,1:57:44,first,783,1,Yes,
Taylor,Spivey,Taylor Spivey,United States,USA,2022-11-05,2022 World Triathlon Championship Series Bermuda,5,2:04:05,first,732.09,1,Yes,
Taylor,Spivey,Taylor Spivey,United States,USA,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,3,0:58:27,first,641.72,1,Yes,
Taylor,Spivey,Taylor Spivey,United States,USA,2022-06-11,2022 World Triathlon Championship Series Leeds,4,0:59:22,first,593.59,1,Yes,
Taylor,Spivey,Taylor Spivey,United States,USA,2022-07-09,2022 World Triathlon Championship Series Hamburg,4,0:58:58,first,593.59,1,Yes,
Taylor,Spivey,Taylor Spivey,United States,USA,2022-06-24,2022 World Triathlon Sprint & Relay Championships Montreal*,6,0:24:44,first,592.54,1,No,
Beth,Potter,Beth Potter,Great Britain,GBR,2022-11-05,2022 World Triathlon Championship Series Bermuda,3,2:03:17,first,855.63,2,Yes,
Beth,Potter,Beth Potter,Great Britain,GBR,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,1,0:57:56,first,750,2,Yes,
Beth,Potter,Beth Potter,Great Britain,GBR,2022-06-24,2022 World Triathlon Sprint & Relay Championships Montreal*,3,0:24:15,first,748.67,2,Yes,
Beth,Potter,Beth Potter,Great Britain,GBR,2022-07-09,2022 World Triathlon Championship Series Hamburg,2,0:58:43,first,693.75,2,Yes,
Beth,Potter,Beth Potter,Great Britain,GBR,2022-06-11,2022 World Triathlon Championship Series Leeds,5,0:59:22,first,549.07,2,Yes,
Beth,Potter,Beth Potter,Great Britain,GBR,2022-10-08,2022 World Triathlon Championship Series Cagliari,10,1:49:28,first,495.76,2,Yes,
Beth,Potter,Beth Potter,Great Britain,GBR,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,32,2:00:47,first,111.51,2,No,
Georgia,Taylor-Brown,Georgia Taylor-Brown,Great Britain,GBR,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,2,1:54:28,first,1156.25,3,Yes,
Georgia,Taylor-Brown,Georgia Taylor-Brown,Great Britain,GBR,2022-10-08,2022 World Triathlon Championship Series Cagliari,1,1:47:42,first,1000,3,Yes,
Georgia,Taylor-Brown,Georgia Taylor-Brown,Great Britain,GBR,2022-06-24,2022 World Triathlon Sprint & Relay Championships Montreal*,1,0:24:04,first,875,3,Yes,
Georgia,Taylor-Brown,Georgia Taylor-Brown,Great Britain,GBR,2022-06-11,2022 World Triathlon Championship Series Leeds,2,0:59:12,first,693.75,3,Yes,
Georgia,Taylor-Brown,Georgia Taylor-Brown,Great Britain,GBR,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,15,0:59:08,first,251.79,3,Yes,
